compactness_mean,compactness_variance,temporal_drift_mean,num_frames,sequence_id,identity_id,model
0.93009573,0.0009290548,0.03369996902243844,697,dancetrack0001,id_0000,clip
0.93027574,0.0007935185,0.03391268156394469,702,dancetrack0001,id_0001,clip
0.93632233,0.000696076,0.03052443138190678,701,dancetrack0001,id_0002,clip
0.9369402,0.0006702114,0.03318121825527941,703,dancetrack0001,id_0003,clip
0.9269749,0.00045571724,0.032986270820992626,703,dancetrack0001,id_0004,clip
0.9201632,0.0005888389,0.03561581734918121,703,dancetrack0001,id_0005,clip
0.93468446,0.00060473115,0.033344084126317605,703,dancetrack0001,id_0006,clip
0.9346756,0.00042727,0.044830008643526695,1197,dancetrack0002,id_0000,clip
0.9340589,0.0005255024,0.04310477886159541,1181,dancetrack0002,id_0001,clip
0.93646747,0.00041117563,0.04598267523492071,1075,dancetrack0002,id_0002,clip
0.9339555,0.00049669354,0.048393921794349586,1198,dancetrack0002,id_0003,clip
0.93429905,0.0004072654,0.045473788132270175,1201,dancetrack0002,id_0004,clip
0.93048704,0.0005383357,0.047826085252812386,1133,dancetrack0002,id_0005,clip
0.93543094,0.00042003783,0.04439949426911705,1135,dancetrack0002,id_0006,clip
0.93759966,0.00046565707,0.04584041736285451,1137,dancetrack0002,id_0007,clip
0.9325538,0.0007071347,0.04045700100289673,1191,dancetrack0006,id_0000,clip
0.9392864,0.00053630804,0.034765181259766915,1186,dancetrack0006,id_0001,clip
0.93969893,0.0005582503,0.03761860720718963,1186,dancetrack0006,id_0002,clip
0.93694353,0.000574672,0.041182644796171945,1196,dancetrack0006,id_0003,clip
0.934943,0.000664702,0.03971037888341777,1160,dancetrack0006,id_0004,clip
0.9370395,0.00064060214,0.037796785451484856,1143,dancetrack0006,id_0005,clip
0.941677,0.00059016806,0.038804916813649844,1166,dancetrack0006,id_0006,clip
0.9398145,0.0005483128,0.03782261825409256,1191,dancetrack0006,id_0007,clip
0.9431418,0.00047508007,0.040187784356962075,1140,dancetrack0006,id_0008,clip
0.9389957,0.0005779925,0.03564860980944458,842,dancetrack0008,id_0000,clip
0.9423833,0.0005519572,0.03561632627703026,867,dancetrack0008,id_0001,clip
0.94024986,0.0008533244,0.03502224117376228,845,dancetrack0008,id_0002,clip
0.93870467,0.0005350944,0.03952732101306233,868,dancetrack0008,id_0003,clip
0.93261194,0.00065288093,0.036071870137344704,881,dancetrack0008,id_0004,clip
0.94196606,0.0005154074,0.033246952676370435,830,dancetrack0008,id_0005,clip
0.93388975,0.00089008786,0.03571634909008642,850,dancetrack0008,id_0006,clip
0.9403347,0.00055103656,0.03570811240557435,867,dancetrack0008,id_0007,clip
0.9417729,0.0005339389,0.03063483941578352,1023,dancetrack0012,id_0000,clip
0.94552034,0.0006549144,0.029398270106423496,1106,dancetrack0012,id_0001,clip
0.939442,0.0007713698,0.032111359781740255,1037,dancetrack0012,id_0002,clip
0.9432142,0.0005344135,0.03356966306043749,1019,dancetrack0012,id_0003,clip
0.94213307,0.0005007932,0.0341206838687261,1093,dancetrack0012,id_0004,clip
0.93021595,0.00076792616,0.033724975264050217,1075,dancetrack0012,id_0005,clip
0.94595885,0.000568402,0.0328048529876142,1064,dancetrack0012,id_0006,clip
0.9486983,0.0007380817,0.02717408924289114,1127,dancetrack0012,id_0007,clip
0.93999743,0.00048693302,0.03366377781926787,1120,dancetrack0012,id_0008,clip
0.94485354,0.0008454605,0.031111007635203948,1158,dancetrack0012,id_0009,clip
0.943419,0.0005675537,0.031203847873646908,1122,dancetrack0012,id_0010,clip
0.94214773,0.00067028566,0.03184504435494501,1088,dancetrack0012,id_0011,clip
0.96046966,0.0004879117,0.02360071828417243,1195,dancetrack0015,id_0000,clip
0.95807636,0.00039940508,0.024255297127986113,1193,dancetrack0015,id_0001,clip
0.9564525,0.00059442746,0.027251763197060984,1187,dancetrack0015,id_0002,clip
0.95829046,0.0003612231,0.023881596542025294,1192,dancetrack0015,id_0003,clip
0.9559805,0.00054064835,0.02483762149160011,1188,dancetrack0015,id_0004,clip
0.95639586,0.00039594824,0.0270627952113594,1165,dancetrack0015,id_0005,clip
0.9580443,0.0003830032,0.025997274070978165,1201,dancetrack0015,id_0006,clip
0.96093315,0.00018240877,0.0239578137381898,1203,dancetrack0015,id_0007,clip
0.9563997,0.00047461764,0.025627265365552702,1196,dancetrack0015,id_0008,clip
0.9477149,0.00041869443,0.029356301536569467,2028,dancetrack0016,id_0000,clip
0.94682634,0.00046283915,0.030161221695553724,2042,dancetrack0016,id_0001,clip
0.94797444,0.00035169054,0.03473276783842533,2152,dancetrack0016,id_0002,clip
0.9484156,0.00045535152,0.031913157753371474,2115,dancetrack0016,id_0003,clip
0.9474494,0.00038367428,0.028965461404383684,2143,dancetrack0016,id_0004,clip
0.9454222,0.0003825675,0.031621815926809474,2133,dancetrack0016,id_0005,clip
0.9518065,0.00072951685,0.02211587849638905,480,dancetrack0020,id_0000,clip
0.92304283,0.00058577233,0.03409034119243116,566,dancetrack0020,id_0001,clip
0.9383505,0.00071594707,0.03643601509273475,565,dancetrack0020,id_0002,clip
0.93770736,0.0006186585,0.029367829106517675,583,dancetrack0020,id_0003,clip
0.9008163,0.00090255396,0.041297105374614805,583,dancetrack0020,id_0004,clip
0.93907094,0.0011554072,0.036400440842547316,565,dancetrack0020,id_0005,clip
0.9569815,0.001112788,0.022349072584515052,574,dancetrack0020,id_0006,clip
0.8996439,0.0012690213,0.051753332461661784,530,dancetrack0020,id_0007,clip
0.93986386,0.0006692046,0.044476437478581966,398,dancetrack0020,id_0008,clip
