compactness_mean,compactness_variance,temporal_drift_mean,num_frames,sequence_id,identity_id,model
0.810362,0.011081711,0.084015126211689,574,dancetrack0020,id_0006,dinov2
0.6669849,0.005259395,0.19784763246943685,530,dancetrack0020,id_0007,dinov2
0.7327845,0.003841723,0.18853347420091893,398,dancetrack0020,id_0008,dinov2
0.73926616,0.0061700754,0.16123731683791998,455,dancetrack0020,id_0009,dinov2
0.6995317,0.007821461,0.16887361444991167,570,dancetrack0020,id_0010,dinov2
0.7586115,0.008145496,0.1316326369124999,583,dancetrack0020,id_0011,dinov2
0.7487097,0.008263987,0.15388041551054363,569,dancetrack0020,id_0012,dinov2
0.77045274,0.009570884,0.12828382219850404,583,dancetrack0020,id_0013,dinov2
0.68171006,0.008194324,0.18149523632316658,558,dancetrack0020,id_0014,dinov2
0.71203494,0.006605702,0.20775413600623172,410,dancetrack0020,id_0015,dinov2
0.7133011,0.007143338,0.18361001916870273,443,dancetrack0020,id_0016,dinov2
0.77489007,0.010867983,0.12355525892363471,578,dancetrack0020,id_0017,dinov2
0.8193722,0.018196832,0.07740499987709296,580,dancetrack0020,id_0018,dinov2
0.6973705,0.006203771,0.18767861875538863,398,dancetrack0020,id_0019,dinov2
0.7336474,0.005726123,0.19705411391822916,381,dancetrack0020,id_0020,dinov2
0.73618776,0.007082274,0.16195082739139108,520,dancetrack0020,id_0021,dinov2
0.7407831,0.016327454,0.14832409172692101,535,dancetrack0020,id_0022,dinov2
0.73615307,0.007517837,0.16440787185237654,514,dancetrack0020,id_0023,dinov2
0.79395306,0.0084024025,0.12331280086663171,583,dancetrack0020,id_0024,dinov2
0.6701262,0.009266678,0.16295894020133547,541,dancetrack0020,id_0025,dinov2
0.70853436,0.008725887,0.16979931874815465,407,dancetrack0020,id_0026,dinov2
0.73233336,0.0065917657,0.15744250794926137,384,dancetrack0020,id_0027,dinov2
0.74770445,0.0146184135,0.15214784821551858,529,dancetrack0020,id_0028,dinov2
0.86154026,0.0064263893,0.10583521133845615,583,dancetrack0020,id_0029,dinov2
0.86398435,0.006609524,0.10865008062923077,583,dancetrack0020,id_0030,dinov2
0.7121842,0.004488681,0.20523164068867347,335,dancetrack0020,id_0031,dinov2
0.67963994,0.0132443635,0.17351563373011744,502,dancetrack0020,id_0032,dinov2
0.6733189,0.008443954,0.18992843474027105,458,dancetrack0020,id_0033,dinov2
0.7009065,0.012712569,0.17135142578798182,443,dancetrack0020,id_0034,dinov2
0.74839145,0.006310206,0.14582239980920986,460,dancetrack0020,id_0035,dinov2
0.7835984,0.008336175,0.132781334314885,479,dancetrack0020,id_0036,dinov2
0.71197456,0.005066625,0.20884964634351624,543,dancetrack0020,id_0037,dinov2
0.71455574,0.00680088,0.20632359144074958,359,dancetrack0020,id_0038,dinov2
0.7129986,0.006681324,0.24116736474776374,459,dancetrack0020,id_0039,dinov2
0.73714584,0.009553695,0.1250229213901486,1463,dancetrack0023,id_0000,dinov2
0.7140854,0.010186675,0.1447616377813879,1478,dancetrack0023,id_0001,dinov2
0.72812706,0.009978788,0.12451482633481727,1410,dancetrack0023,id_0002,dinov2
0.71698594,0.010497473,0.13822048202699977,1483,dancetrack0023,id_0003,dinov2
0.72021186,0.010353685,0.15551414644201972,1479,dancetrack0023,id_0004,dinov2
0.71028274,0.008812157,0.16029335761470115,1432,dancetrack0023,id_0005,dinov2
0.7112502,0.00928826,0.1479128427103738,1449,dancetrack0023,id_0006,dinov2
0.70737654,0.012319646,0.1313016562213685,1346,dancetrack0023,id_0007,dinov2
0.73930234,0.011928502,0.12348898324245705,1483,dancetrack0023,id_0008,dinov2
0.7085166,0.007239761,0.11784986800198813,760,dancetrack0024,id_0000,dinov2
0.7346246,0.009723594,0.09933305908190576,761,dancetrack0024,id_0001,dinov2
0.7378571,0.006569881,0.11826478073916097,763,dancetrack0024,id_0002,dinov2
0.74445736,0.008246414,0.09793299314039772,755,dancetrack0024,id_0003,dinov2
0.72062725,0.008187143,0.11732875216721839,735,dancetrack0024,id_0004,dinov2
0.74684834,0.009396459,0.10191239697638813,738,dancetrack0024,id_0005,dinov2
0.82208896,0.017584534,0.16866734027862548,11,dancetrack0027,id_0000,dinov2
0.89987916,0.0067895683,0.05482592312494914,376,dancetrack0027,id_0001,dinov2
0.8912636,0.0044755097,0.06375868099375177,400,dancetrack0027,id_0002,dinov2
0.90502065,0.0073670144,0.06730659405390421,31,dancetrack0027,id_0003,dinov2
0.93361235,0.0076426156,0.03835843194205806,54,dancetrack0027,id_0004,dinov2
0.9099067,0.0046721585,0.09599298983812332,9,dancetrack0027,id_0005,dinov2
0.8329269,0.010453568,0.09678331770233273,389,dancetrack0027,id_0006,dinov2
0.77504086,0.016613325,0.13468382232168685,350,dancetrack0027,id_0007,dinov2
0.8112446,0.015364041,0.11907181997851628,329,dancetrack0027,id_0008,dinov2
0.858589,0.014571443,0.08748179354021311,392,dancetrack0027,id_0009,dinov2
0.85259545,0.015151279,0.08219114627878545,355,dancetrack0027,id_0010,dinov2
0.8178097,0.014167686,0.10856282520985258,346,dancetrack0027,id_0011,dinov2
0.9013678,0.0053346176,0.05438906606750109,403,dancetrack0027,id_0012,dinov2
0.85056245,0.0055040894,0.06678986152642881,1263,dancetrack0029,id_0000,dinov2
0.84782755,0.012770653,0.06759023022519113,1260,dancetrack0029,id_0001,dinov2
0.90023583,0.014287944,0.07511519640684128,315,dancetrack0029,id_0002,dinov2
0.83630127,0.009949018,0.07853968521777877,1263,dancetrack0029,id_0003,dinov2
0.83413535,0.011804005,0.07496124659495194,1263,dancetrack0029,id_0004,dinov2
0.85758364,0.004921239,0.06526493301838518,1260,dancetrack0029,id_0005,dinov2
0.8448026,0.009116833,0.07513205822879222,1262,dancetrack0029,id_0006,dinov2
0.8656777,0.002196034,0.07064766858149919,604,dancetrack0032,id_0000,dinov2
0.72401965,0.005650509,0.20195081268451107,537,dancetrack0032,id_0001,dinov2
0.7350303,0.0070231305,0.18878466704717048,521,dancetrack0032,id_0002,dinov2
0.7307032,0.0060216356,0.17481859270549074,567,dancetrack0032,id_0003,dinov2
0.7361586,0.0065326863,0.1793332149752894,593,dancetrack0032,id_0004,dinov2
0.72058976,0.00763032,0.18960082009295956,538,dancetrack0032,id_0005,dinov2
0.74469,0.005498874,0.13764156208274328,789,dancetrack0033,id_0000,dinov2
0.71896803,0.007675608,0.14826742769042148,791,dancetrack0033,id_0001,dinov2
0.7317065,0.005762952,0.13451204901329206,780,dancetrack0033,id_0002,dinov2
0.7455145,0.0042231646,0.14042070634663106,801,dancetrack0033,id_0003,dinov2
0.7321546,0.008245146,0.13571649009459896,761,dancetrack0033,id_0004,dinov2
0.68995583,0.004655675,0.16486418808744688,752,dancetrack0033,id_0005,dinov2
0.73206204,0.009813374,0.1420366666540795,768,dancetrack0033,id_0006,dinov2
0.69779277,0.0068872618,0.1442143255352073,795,dancetrack0033,id_0007,dinov2
0.72221935,0.0059148865,0.16027772187481862,1185,dancetrack0037,id_0000,dinov2
0.72957957,0.0068612085,0.14624600518833508,1200,dancetrack0037,id_0001,dinov2
0.74249977,0.006864354,0.15007373466428403,1131,dancetrack0037,id_0002,dinov2
0.73207,0.0070882104,0.13104295689544215,1199,dancetrack0037,id_0003,dinov2
0.72903705,0.009637317,0.15733608630819057,1200,dancetrack0037,id_0004,dinov2
0.7192642,0.007538106,0.14233472294667188,1191,dancetrack0037,id_0005,dinov2
0.71316123,0.009667122,0.14692440800654868,1199,dancetrack0037,id_0006,dinov2
0.7725203,0.009366932,0.09771920070052147,1201,dancetrack0039,id_0000,dinov2
0.79033166,0.006416003,0.08703253988392097,1211,dancetrack0039,id_0001,dinov2
0.8162659,0.005813927,0.0827422170783298,1224,dancetrack0039,id_0002,dinov2
0.7891945,0.0065152002,0.10467177595102414,1215,dancetrack0039,id_0003,dinov2
0.83213776,0.0035839933,0.07375314711563048,1241,dancetrack0039,id_0004,dinov2
0.72215974,0.015208778,0.21234009205741838,863,dancetrack0044,id_0000,dinov2
0.6970596,0.0067000627,0.19937832304379458,1132,dancetrack0044,id_0001,dinov2
0.74195564,0.010525218,0.21258614321079972,720,dancetrack0044,id_0002,dinov2
0.67886674,0.007987178,0.20856061855458324,1128,dancetrack0044,id_0003,dinov2
0.69473785,0.00847616,0.20254353986676418,1094,dancetrack0044,id_0004,dinov2
0.7192404,0.011817934,0.18129851510015765,980,dancetrack0044,id_0005,dinov2
0.706341,0.014234463,0.2076807823794627,1027,dancetrack0044,id_0006,dinov2
0.69704396,0.009389145,0.19604495832634142,1135,dancetrack0044,id_0007,dinov2
0.67072994,0.009950395,0.20335091925847856,1132,dancetrack0044,id_0008,dinov2
0.69370764,0.00977953,0.18974884076200368,1049,dancetrack0044,id_0009,dinov2
0.67557067,0.0065445118,0.19956334511611212,924,dancetrack0044,id_0010,dinov2
0.70834,0.00959537,0.2107544852097829,1126,dancetrack0044,id_0011,dinov2
0.688023,0.008711314,0.20299500873889464,1079,dancetrack0044,id_0012,dinov2
0.69978595,0.011211663,0.2146402087117651,1016,dancetrack0045,id_0000,dinov2
0.68781984,0.00780178,0.22689820596394145,1117,dancetrack0045,id_0001,dinov2
0.6867673,0.011215334,0.22012016456739036,1131,dancetrack0045,id_0002,dinov2
0.73152757,0.012978837,0.18381615260370818,1194,dancetrack0045,id_0003,dinov2
0.6932363,0.0073233317,0.2534709001731391,991,dancetrack0045,id_0004,dinov2
0.71982765,0.013116348,0.17448819602342477,1198,dancetrack0045,id_0005,dinov2
0.67648816,0.009007122,0.23118263365652483,1118,dancetrack0045,id_0006,dinov2
0.71023804,0.011366644,0.21184314207209526,1203,dancetrack0045,id_0007,dinov2
0.6783515,0.0076190964,0.22025842792451977,1100,dancetrack0045,id_0008,dinov2
